-0.325424	-0.583106	0.720675
-0.301657	-0.61407	0.758944
-0.416775	-1.18035	1.45882
-0.370688	-1.21907	1.50667
-0.166777	-1.28017	1.58219
-0.157477	-1.29755	1.60367
0.772808	-1.1278	1.39388
1.49004	-1.14208	1.41153
1.51235	-1.13591	1.40389
-0.372514	-1.13659	1.41072
-0.237091	-1.07603	1.33555
-0.232691	-1.12458	1.39582
0.906845	-1.21507	1.50813
1.03285	-0.954595	1.18483
0.991138	-0.912268	1.1323
1.0097	-0.868535	1.07801
1.30134	-1.06605	1.32316
1.5122	-1.14245	1.418
1.53887	-1.14327	1.41901
1.4649	-1.07403	1.33307
1.49634	-1.0935	1.35723
-0.381555	-0.677886	0.844982
-0.374829	-1.10851	1.38176
-0.275194	-1.12898	1.40727
1.24701	-1.14762	1.4305
1.29646	-1.04602	1.30386
1.47556	-1.08078	1.34719
-0.476329	-1.196	1.49721
-0.4123	-1.07167	1.34157
-0.238916	-1.07507	1.34583
-0.152533	-1.1177	1.3992
-0.129821	-1.09632	1.37243
0.339884	-1.11117	1.39102
-0.279594	-0.549533	0.690902
-0.435144	-1.13955	1.43271
-0.422834	-1.16252	1.46158
-0.439319	-1.27122	1.59824
0.714845	-1.18773	1.49327
1.37314	-1.23753	1.55589
1.44488	-1.23173	1.54859
1.60436	-1.18458	1.48931
1.52857	-1.11739	1.40484
1.51581	-1.08295	1.36154
-0.384937	-1.0807	1.3646
-0.381068	-1.14288	1.44312
-0.29015	-1.04074	1.31414
-0.323364	-1.17913	1.48888
0.632983	-1.20095	1.51644
1.101	-1.33042	1.67992
1.03925	-1.00218	1.26545
1.51307	-1.36332	1.72147
1.56079	-1.12854	1.42501
-0.348532	-0.603798	0.765735
-0.394645	-1.08923	1.38136
-0.370049	-1.15222	1.46125
-0.242015	-1.09727	1.39155
1.51661	-1.06043	1.34483
-0.344834	-0.590118	0.751656
-0.39015	-0.756901	0.964094
-0.491611	-0.998208	1.27146
-0.25466	-0.986037	1.25595
-0.257393	-1.05278	1.34097
0.719173	-0.90116	1.14784
0.967843	-1.18547	1.50997
1.61573	-1.14682	1.46075
-0.346111	-1.1681	1.49438
-0.284561	-1.05932	1.35522
-0.17582	-1.18244	1.51274
1.81444	-1.47449	1.88636
1.57096	-1.12113	1.4343
1.66343	-1.1717	1.49899
1.52837	-1.05598	1.35094
1.54846	-1.05972	1.35573
1.57084	-1.07165	1.371
-0.343059	-0.586559	0.753712
-0.453353	-1.09654	1.40902
-0.384806	-1.16593	1.49819
0.755493	-0.938395	1.20581
1.31924	-1.10893	1.42495
-0.555355	-1.134	1.46361
-0.431534	-0.731324	0.948093
-0.312088	-0.60022	0.778128
-0.501022	-1.46357	1.89739
-0.325368	-1.08363	1.40482
1.06803	-1.26397	1.63862
1.6325	-1.10601	1.43384
1.5986	-1.0695	1.38651
-0.285823	-1.12243	1.46163
-0.165204	-1.09154	1.4214
0.5074	-1.23129	1.60339
-1.57845	-1.08931	1.42487
-0.507215	-0.845237	1.10561
-0.289312	-1.11058	1.45269
1.20315	-1.42701	1.86659
1.24654	-1.1258	1.4726
1.16913	-1.00863	1.31933
1.40168	-1.16654	1.52588
1.35405	-1.01892	1.33279
-1.58787	-1.09089	1.43337
-0.271957	-0.511459	0.672028
-0.335688	-1.10308	1.44938
-0.343851	-1.14777	1.5081
-0.249736	-1.11599	1.46635
0.702631	-0.848609	1.11502
1.3538	-1.01776	1.33728
-1.55538	-1.08135	1.42727
-0.276785	-1.11342	1.4696
-0.185121	-1.04469	1.37888
-0.151389	-1.16803	1.54168
1.043	-1.33012	1.75562
1.55251	-1.28551	1.69674
1.69164	-1.1047	1.45808
-1.55002	-1.0835	1.43661
-1.47312	-1.03667	1.37452
-0.378181	-1.08016	1.43218
-0.361661	-1.12516	1.49185
-0.466449	-1.61981	2.1477
0.347151	-1.04083	1.38003
0.569722	-1.34252	1.78004
1.33578	-1.1851	1.57132
-1.50304	-1.04939	1.39774
-0.790727	-1.28394	1.71016
-0.456685	-1.60533	2.13824
0.376697	-1.04909	1.39734
0.608427	-1.11357	1.48324
2.49614	-1.95565	2.60485
-1.55724	-1.05056	1.40572
-1.49963	-1.05281	1.40874
-0.418178	-1.19991	1.60558
-0.225606	-1.29052	1.72681
0.82038	-1.00754	1.34817
1.24766	-1.09685	1.46767
-1.61136	-1.08561	1.45932
-1.45523	-1.03446	1.39058
-1.42774	-1.02196	1.37377
-0.420422	-0.766023	1.02973
-0.389754	-1.06883	1.43677
-0.203766	-1.07152	1.44039
-0.138798	-0.97955	1.31676
0.829531	-0.990623	1.33164
1.10259	-1.13307	1.52313
-1.43594	-1.01956	1.37689
-0.256967	-0.411528	0.555759
-0.279228	-1.03819	1.40205
-0.200269	-1.07569	1.45269
-0.120483	-1.02099	1.37883
0.330381	-0.98666	1.33246
-1.63699	-1.11826	1.51722
-0.401553	-0.724892	0.98351
-0.380035	-1.03256	1.40095
-0.398253	-1.14282	1.55054
-0.273041	-1.06852	1.44973
-0.163073	-0.946077	1.28361
-0.173375	-1.09945	1.4917
-0.139097	-1.12678	1.52877
0.333457	-1.02093	1.38516
-1.70337	-1.16598	1.58936
-1.44457	-1.04882	1.42965
-1.43261	-1.0476	1.428
-0.243313	-1.14504	1.56081
-0.232019	-1.14484	1.56055
0.184744	-0.995296	1.3567
0.831816	-1.10785	1.51013
1.00731	-1.20725	1.64561
1.29614	-1.12811	1.53774
1.80714	-1.39397	1.90014
-0.332339	-0.594358	0.813985
-0.567135	-1.33184	1.82398
-0.344739	-1.08685	1.48846
-0.167823	-1.05434	1.44393
0.363802	-1.12024	1.53419
1.66582	-1.28382	1.75822
-1.52478	-1.05891	1.45704
-0.315006	-0.495123	0.681283
0.388496	-1.00692	1.38551
1.79484	-1.52794	2.10242
-1.57195	-1.09405	1.51254
-1.34958	-1.00932	1.3954
-0.316832	-0.551557	0.762536
-0.403675	-1.10576	1.52873
-0.31927	-1.06331	1.47004
-0.316121	-1.108	1.53183
-0.221039	-1.19088	1.64642
-0.1445	-1.10495	1.52761
1.11399	-1.27142	1.75776
1.72553	-1.48076	2.04718
-1.59124	-1.11382	1.54721
-1.35665	-0.998626	1.3872
-0.426096	-0.751291	1.04362
-0.393353	-1.05793	1.46957
-0.22639	-1.18218	1.64217
1.23732	-1.10895	1.54045
1.23823	-1.06209	1.47536
-1.66787	-1.13019	1.57747
-1.35848	-1.01771	1.42048
-1.3391	-1.01082	1.41086
0.242521	-0.968324	1.35155
0.616867	-1.15891	1.61756
-1.37754	-1.04277	1.46247
-0.482808	-1.08207	1.51758
-0.345712	-1.06431	1.49266
-1.59413	-1.13162	1.59474
-1.3193	-1.00155	1.41145
-0.430477	-0.741612	1.04512
-0.429472	-0.9579	1.34993
-0.180315	-1.1737	1.65404
0.451648	-1.07392	1.51343
0.510995	-1.07249	1.51142
1.26166	-1.07596	1.5163
1.71927	-1.19658	1.68629
-1.33473	-1.01621	1.43906
-0.386673	-1.03406	1.46434
-0.337628	-0.98348	1.39271
0.357147	-0.988417	1.3997
-1.30966	-1.02412	1.45735
-0.480912	-0.813364	1.15744
-0.343523	-0.953253	1.3565
-0.179382	-1.11931	1.5928
0.380858	-1.0343	1.47183
0.907549	-1.08006	1.53695
0.968914	-1.09939	1.56445
1.29449	-1.10767	1.57625
1.04721	-0.785692	1.11806
1.31712	-0.962269	1.36933
1.43011	-0.936042	1.33201
-1.61216	-1.16132	1.6607
-1.29744	-0.993669	1.42095
-1.29307	-1.00219	1.43314
-1.31677	-1.02878	1.47117
-0.441007	-1.05289	1.50564
-0.403228	-1.19881	1.7143
-0.160178	-0.791797	1.13227
-0.163478	-0.926137	1.32438
0.380546	-1.04294	1.49141
1.24502	-1.06482	1.52269
1.35951	-0.992108	1.41872
-1.59216	-1.12871	1.62202
-1.40426	-1.03743	1.49084
-1.2664	-1.00481	1.44397
-0.527026	-0.882651	1.26842
-0.31968	-0.540081	0.776127
-0.473637	-1.02436	1.47207
-0.381595	-1.04856	1.50684
-0.375066	-1.0455	1.50245
1.06446	-1.26213	1.81376
0.774299	-0.890726	1.28003
1.27786	-1.19273	1.71403
1.8173	-1.24474	1.78876
-1.68134	-1.1481	1.65806
-1.27961	-1.0229	1.47725
-0.300312	-0.446259	0.644479
-0.396534	-0.985968	1.42392
-0.258626	-1.00878	1.45686
-0.23565	-1.00044	1.44482
-1.25266	-0.99227	1.44015
-1.2806	-1.02717	1.49081
-0.299528	-0.501043	0.7272
-0.472366	-1.01154	1.46812
-0.40958	-1.00041	1.45196
-0.267334	-1.03758	1.50591
0.245061	-1.04607	1.51824
-1.26208	-1.0158	1.48169
-0.308993	-0.509838	0.743669
-0.328757	-0.95822	1.3977
-0.254717	-1.02534	1.4956
-0.211614	-1.00003	1.45868
-0.197745	-0.983376	1.43439
0.555259	-1.17612	1.71553
0.573253	-1.03054	1.50319
0.584476	-0.951736	1.38824
2.47432	-2.01252	2.93554
-1.27224	-1.02755	1.50637
-1.19805	-0.980185	1.43693
-1.15364	-0.96047	1.40803
-0.312609	-0.454112	0.665718
-0.312045	-0.852673	1.25
-0.252666	-1.05673	1.54915
-0.173937	-0.933928	1.36912
-0.155466	-0.941653	1.38044
0.368222	-1.29566	1.8994
0.880961	-1.03669	1.51976
